Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SME0340;Equações Diferenciais Ordinárias;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;72;72;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecânica
SME0340;Equações Diferenciais Ordinárias;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;43;EESC - Engenharia Aeronáutica;60;43;0;0;;;;0;0;;;;0;0;0;0;Engenharia Aeronáutica
SME0340;Equações Diferenciais Ordinárias;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;43;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Aeronáutica
SME0340;Equações Diferenciais Ordinárias;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;43;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Aeronáutica
SME0340;Equações Diferenciais Ordinárias;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;56;EESC - Engenharia Mecatrônica;70;56;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecatrônica
SME0340;Equações Diferenciais Ordinárias;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;56;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecatrônica
SME0340;Equações Diferenciais Ordinárias;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;56;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecatrônica
SME0340;Equações Diferenciais Ordinárias;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;61;EESC e ICMC - Engenharia de Computação;70;61;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0340;Equações Diferenciais Ordinárias;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;61;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0340;Equações Diferenciais Ordinárias;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;61;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação
SME0341;Álgebra Linear e Equações Diferenciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;50;34;EESC - Engenharia Ambiental;50;34;0;0;;;;0;0;;;;0;0;0;0;Engenharia Ambiental
SME0341;Álgebra Linear e Equações Diferenciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;50;34;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Ambiental
SME0341;Álgebra Linear e Equações Diferenciais;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;50;34;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Ambiental
SME0341;Álgebra Linear e Equações Diferenciais;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;72;72;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Materiais e Manufatura
SME0341;Álgebra Linear e Equações Diferenciais;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;72;72;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Materiais e Manufatura
SME0346;Matemática para Arquitetura;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;3;IAU - Instituto de Arquitetura e Urbanismo;60;3;0;0;;;;0;0;;;;0;0;0;0;Arquitetura - IAU
