Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SMA0329;História da Matemática;2025101;Teórica;S;24/02/2025;07/07/2025;45;0;;;;;0;0;;;;65;14;;;;0;0;;;;0;0;0;0;Matemática (Bach)
SMA0329;História da Matemática;2025101;Teórica;S;24/02/2025;07/07/2025;45;0;;;;;0;0;;;;65;14;;;;0;0;;;;0;0;0;0;Matemática (Bach)
SMA0337;Análise Crítica de Livros Didáticos;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;65;1;ICMC - Matemática – Licenciatura;65;1;0;0;;;;0;0;;;;0;0;0;0;Licenciatura em Matemática
SMA0337;Análise Crítica de Livros Didáticos;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;65;1;;;;0;0;;;;0;0;;;;0;0;0;0;Licenciatura em Matemática
SMA0337;Análise Crítica de Livros Didáticos;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;65;1;;;;0;0;;;;0;0;;;;0;0;0;0;Licenciatura em Matemática
SMA0347;Análise para Licenciatura;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;4;ICMC - Matemática – Licenciatura;65;4;0;0;;;;0;0;;;;0;0;0;0;Licenciatura em Matemática.
SMA0347;Análise para Licenciatura;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;4;;;;0;0;;;;0;0;;;;0;0;0;0;Licenciatura em Matemática.
SMA0347;Análise para Licenciatura;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;4;;;;0;0;;;;0;0;;;;0;0;0;0;Licenciatura em Matemática.
SMA0350;Ensino no contexto da educação especial e inclusiva;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;40;3;ICMC - Matemática – Licenciatura;40;3;25;0;ICMC -  para toda a Unidade;25;0;0;0;;;;0;0;0;0;Licenciatura em Matemática.
SMA0350;Ensino no contexto da educação especial e inclusiva;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;40;3;;;;25;0;;;;0;0;;;;0;0;0;0;Licenciatura em Matemática.
SMA0350;Ensino no contexto da educação especial e inclusiva;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;40;3;;;;25;0;;;;0;0;;;;0;0;0;0;Licenciatura em Matemática.
SMA0353;Cálculo I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;11;11;ICMC - Ciências de Computação;8;8;0;0;;;;0;0;;;;0;0;0;0;BCC, BCDados
SMA0353;Cálculo I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;11;11;ICMC - Bacharelado em Ciência de Dados;3;3;0;0;;;;0;0;;;;0;0;0;0;BCC, BCDados
SMA0353;Cálculo I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;11;11;;;;0;0;;;;0;0;;;;0;0;0;0;BCC, BCDados
SMA0353;Cálculo I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;11;11;;;;0;0;;;;0;0;;;;0;0;0;0;BCC, BCDados
SMA0353;Cálculo I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;3;EESC - Engenharia Ambiental;65;3;0;0;;;;0;0;;;;0;0;0;0;Eng. Ambiental
SMA0353;Cálculo I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;3;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Ambiental
SMA0353;Cálculo I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;3;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Ambiental
SMA0353;Cálculo I;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;8;EESC - Engenharia Civil;65;8;0;0;;;;0;0;;;;0;0;0;0;Eng. Civil
SMA0353;Cálculo I;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;8;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Civil
SMA0353;Cálculo I;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;8;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Civil
SMA0353;Cálculo I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;12;EESC e ICMC - Engenharia de Computação;25;1;0;0;;;;0;0;;;;0;0;0;0;Eng. Comp. + Aeronáutica + Manufatura + IFSC
Campus 2
SMA0353;Cálculo I;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;80;12;EESC - Engenharia de Materiais e Manufatura;25;5;0;0;;;;0;0;;;;0;0;0;0;Eng. Comp. + Aeronáutica + Manufatura + IFSC
Campus 2
